# Saarthi dynamic block geography — India-wide LGD registry.
# GENERATED by scripts/build_india_blocks.py — do not hand-edit rows.
# Hierarchy + LGD codes: Ministry of Panchayati Raj LGD block table via the
# India Data Portal CKAN mirror (ODbL):
# https://ckandev.indiadataportal.com/dataset/lgd-codes (block-lgd-codes.csv).
# Coordinates: Sangrur/Malerkotla seed rows are Bhuvan polygon bbox-centres
# (location_method=bhuvan_polygon_centroid); rows joined to the bharatlas
# LGD block polygons use true polygon bbox-centres
# (location_method=polygon_centroid); the small remainder without polygons
# uses Open-Meteo geocoding town locations accepted ONLY on admin1
# (state) match (location_method=geocoded_centroid). Per-row queries in
# data/processed/geography/blocks_build.json. Rows without verified
# coordinates are DROPPED (never invented) — see skipped list there.
# Legacy deviations: 'Moonak' keeps Bhuvan ID bhuvan_b_274 (no current LGD
# development-block entry); legacy 'Lehra' = LGD 'Lehragaga' (344).
state_code,state_name,district_code,district_name,block_code,block_name,latitude,longitude,location_method
1,Jammu and Kashmir,3,Baramulla,7008,Hardaboora,34.10007,74.60395,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,7009,Kandi Rafiabad,34.07745,74.45022,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,7010,Khaipora,34.11066,74.45026,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,7011,Lalpora,34.12001,74.57339,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,7012,Nadihal,34.27531,74.36097,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,7013,Narwah,34.16065,74.32838,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,7014,Noorkah,34.10696,74.23607,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,7015,Paranpeela,34.08217,74.02923,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,7016,Sangrama,34.24755,74.48791,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,7017,Sherabad Khore,34.14053,74.63253,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,7018,Tujjar Sharief,34.398,74.40736,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,7019,Wailoo,34.15929,74.50151,polygon_centroid
1,Jammu and Kashmir,4,Doda,37,Assar,33.10328,75.42261,polygon_centroid
1,Jammu and Kashmir,4,Doda,39,Bhaderwah,32.98182,75.68973,polygon_centroid
1,Jammu and Kashmir,4,Doda,40,Bhagwah,33.27187,75.47894,polygon_centroid
1,Jammu and Kashmir,4,Doda,41,Bhalessa(gandoh),33.02436,75.99711,polygon_centroid
1,Jammu and Kashmir,4,Doda,43,Doda,33.1422,75.59773,polygon_centroid
1,Jammu and Kashmir,4,Doda,45,Gundana,33.19179,75.71128,polygon_centroid
1,Jammu and Kashmir,4,Doda,48,Marmat,33.04749,75.46043,polygon_centroid
1,Jammu and Kashmir,4,Doda,54,Thathri,33.10873,75.78323,polygon_centroid
1,Jammu and Kashmir,4,Doda,6983,Kastigarh,33.21388,75.43175,polygon_centroid
1,Jammu and Kashmir,4,Doda,6984,Khellani,33.0944,75.48807,polygon_centroid
1,Jammu and Kashmir,4,Doda,6985,Chiralla,32.99351,75.88885,polygon_centroid
1,Jammu and Kashmir,4,Doda,6986,Kahara,33.09991,75.83163,polygon_centroid
1,Jammu and Kashmir,4,Doda,6987,Bhalla,33.04647,75.61766,polygon_centroid
1,Jammu and Kashmir,4,Doda,6988,Dali Udhyanpur,33.24264,75.60829,polygon_centroid
1,Jammu and Kashmir,4,Doda,6989,Changa,32.98975,75.94671,polygon_centroid
1,Jammu and Kashmir,4,Doda,6990,Jakyas,33.06499,75.94643,polygon_centroid
1,Jammu and Kashmir,4,Doda,6991,Chilli Pingal,33.0614,75.97993,polygon_centroid
1,Jammu and Kashmir,5,Jammu,56,Akhnoor,32.92611,74.66048,polygon_centroid
1,Jammu and Kashmir,5,Jammu,57,Bhalwal,32.8302,74.79892,polygon_centroid
1,Jammu and Kashmir,5,Jammu,58,Bishnah,32.58133,74.88233,polygon_centroid
1,Jammu and Kashmir,5,Jammu,59,Dansal,32.81495,75.00053,polygon_centroid
1,Jammu and Kashmir,5,Jammu,60,Khour,32.88158,74.4489,polygon_centroid
1,Jammu and Kashmir,5,Jammu,61,Marh,32.76887,74.7361,polygon_centroid
1,Jammu and Kashmir,5,Jammu,63,R.s.pura,32.59291,74.74877,polygon_centroid
1,Jammu and Kashmir,5,Jammu,65,Satwari,32.68923,74.82916,polygon_centroid
1,Jammu and Kashmir,5,Jammu,6862,Arnia,32.50646,74.8014,polygon_centroid
1,Jammu and Kashmir,5,Jammu,6863,Bhalwal Brahmana,32.86231,74.60412,polygon_centroid
1,Jammu and Kashmir,5,Jammu,6866,Samwan,32.87125,74.44499,polygon_centroid
1,Jammu and Kashmir,5,Jammu,6867,Nagrota,32.83081,75.0041,polygon_centroid
1,Jammu and Kashmir,5,Jammu,6868,Mandal Phallain,32.68324,74.74514,polygon_centroid
1,Jammu and Kashmir,5,Jammu,6979,Kharah Balli,32.89021,74.53086,polygon_centroid
1,Jammu and Kashmir,5,Jammu,6980,Pragwal,32.79173,74.5883,polygon_centroid
1,Jammu and Kashmir,5,Jammu,6981,Mathwar,32.93236,74.80914,polygon_centroid
1,Jammu and Kashmir,5,Jammu,6982,Suchetgarh,32.56509,74.70979,polygon_centroid
1,Jammu and Kashmir,5,Jammu,7037,Miran Sahib,32.5981,74.79085,polygon_centroid
1,Jammu and Kashmir,620,Kishtwar,42,Dachhan,33.51397,75.9863,polygon_centroid
1,Jammu and Kashmir,620,Kishtwar,44,Drabshalla,33.21414,75.8939,polygon_centroid
1,Jammu and Kashmir,620,Kishtwar,46,Inderwal,33.53944,75.60734,polygon_centroid
1,Jammu and Kashmir,620,Kishtwar,47,Kishtwar,33.29035,75.88043,polygon_centroid
1,Jammu and Kashmir,620,Kishtwar,49,Marwah,33.6822,75.97255,polygon_centroid
