forecast_date,split,lead_day,block,forecast_target_date,forecast_rainfall_mm,valid_pixel_count,source_issue,source_target,target_7d_rainfall_mm
2016-06-06,train,5,Sangrur,2016-06-11,1.6645902948720117,28,2016.06.06,2016.06.11,1.7337259944620178
2016-06-06,train,5,Sunam,2016-06-11,2.4893443371568407,28,2016.06.06,2016.06.11,1.5090596670017855
2016-06-06,train,6,Dhuri,2016-06-12,1.779556859623302,22,2016.06.06,2016.06.12,1.8275881843561632
2016-06-06,train,6,Lehra,2016-06-12,3.8327259570360175,16,2016.06.06,2016.06.12,2.0433231893203416
2016-06-06,train,6,Malerkotla,2016-06-12,1.7128697037696838,28,2016.06.06,2016.06.12,1.4748332011646113
2016-06-06,train,6,Moonak,2016-06-12,4.270974655946096,12,2016.06.06,2016.06.12,1.963658358596141
2016-06-06,train,6,Sangrur,2016-06-12,2.53140475494521,28,2016.06.06,2016.06.12,1.7337259944620178
2016-06-06,train,6,Sunam,2016-06-12,3.3661696996007646,28,2016.06.06,2016.06.12,1.5090596670017855
2016-06-06,train,7,Dhuri,2016-06-13,1.0371024987914346,22,2016.06.06,2016.06.13,1.8275881843561632
2016-06-06,train,7,Lehra,2016-06-13,0.7163114100694656,16,2016.06.06,2016.06.13,2.0433231893203416
2016-06-06,train,7,Malerkotla,2016-06-13,1.1132588045937677,28,2016.06.06,2016.06.13,1.4748332011646113
2016-06-06,train,7,Moonak,2016-06-13,0.8684649765491486,12,2016.06.06,2016.06.13,1.963658358596141
2016-06-06,train,7,Sangrur,2016-06-13,1.258304334112576,28,2016.06.06,2016.06.13,1.7337259944620178
2016-06-06,train,7,Sunam,2016-06-13,1.0046460522072655,28,2016.06.06,2016.06.13,1.5090596670017855
2016-06-02,train,1,Dhuri,2016-06-03,0.0,22,2016.06.02,2016.06.03,0.0
2016-06-02,train,1,Lehra,2016-06-03,0.0,16,2016.06.02,2016.06.03,0.0
2016-06-02,train,1,Malerkotla,2016-06-03,0.0,28,2016.06.02,2016.06.03,0.00047155853726075126
2016-06-02,train,1,Moonak,2016-06-03,0.0,12,2016.06.02,2016.06.03,0.048386569319752694
2016-06-02,train,1,Sangrur,2016-06-03,0.0,28,2016.06.02,2016.06.03,0.06762964472998971
2016-06-02,train,1,Sunam,2016-06-03,0.0,28,2016.06.02,2016.06.03,0.0525047559856821
2016-06-02,train,2,Dhuri,2016-06-04,0.0,22,2016.06.02,2016.06.04,0.0
2016-06-02,train,2,Lehra,2016-06-04,0.0,16,2016.06.02,2016.06.04,0.0
2016-06-02,train,2,Malerkotla,2016-06-04,0.0020533778837748,28,2016.06.02,2016.06.04,0.00047155853726075126
2016-06-02,train,2,Moonak,2016-06-04,0.0,12,2016.06.02,2016.06.04,0.048386569319752694
