block,start,end,duration,jjas,train,eval_period
Moonak,2019-11-16,2019-11-24,9,0,1,0
Moonak,2019-11-28,2019-12-11,14,0,1,0
Moonak,2019-12-14,2020-01-05,23,0,1,0
Moonak,2020-01-09,2020-03-03,55,0,0,0
Moonak,2020-03-06,2020-03-26,21,0,0,0
Moonak,2020-03-28,2020-05-01,35,0,0,0
Moonak,2020-05-15,2020-05-29,15,0,0,0
Moonak,2020-06-01,2020-06-06,6,1,0,0
Moonak,2020-06-11,2020-06-20,10,1,0,0
Moonak,2020-06-26,2020-07-03,8,1,0,0
Moonak,2020-07-21,2020-07-25,5,1,0,0
Moonak,2020-08-21,2020-09-02,13,1,0,0
Moonak,2020-09-27,2020-11-14,49,1,0,0
Moonak,2020-11-16,2021-03-11,116,0,0,0
Moonak,2021-03-13,2021-03-20,8,0,0,1
Moonak,2021-03-24,2021-04-15,23,0,0,1
Moonak,2021-04-24,2021-05-05,12,0,0,1
Moonak,2021-05-11,2021-05-30,20,0,0,1
Moonak,2021-06-01,2021-06-05,5,1,0,1
Moonak,2021-06-07,2021-06-11,5,1,0,1
Moonak,2021-06-16,2021-07-10,25,1,0,1
Moonak,2021-08-10,2021-08-19,10,1,0,1
Moonak,2021-08-23,2021-08-31,9,1,0,1
Moonak,2021-09-14,2021-09-19,6,1,0,1
Moonak,2021-10-07,2021-12-04,59,0,0,1
Moonak,2021-12-06,2022-01-04,30,0,0,1
Moonak,2022-01-06,2022-05-22,137,0,0,1
Moonak,2022-05-25,2022-06-29,36,0,0,1
Moonak,2022-08-15,2022-08-25,11,1,0,1
Moonak,2022-10-02,2022-10-07,6,0,0,1
Moonak,2022-10-12,2023-03-15,155,0,0,1
Moonak,2023-03-21,2023-03-31,11,0,0,1
Moonak,2023-04-02,2023-04-28,27,0,0,1
Moonak,2023-05-06,2023-05-15,10,0,0,1
Moonak,2023-06-01,2023-06-24,24,1,0,1
Moonak,2023-06-26,2023-07-04,9,1,0,1
Moonak,2023-08-07,2023-08-13,7,1,0,1
Moonak,2023-08-29,2023-09-04,7,1,0,1
Moonak,2023-09-27,2023-10-08,12,1,0,1
Moonak,2023-10-17,2023-11-26,41,0,0,1
Moonak,2023-12-01,2024-01-30,61,0,0,1
Moonak,2024-02-05,2024-02-10,6,0,0,1
Moonak,2024-02-16,2024-02-26,11,0,0,1
Moonak,2024-02-28,2024-04-10,43,0,0,1
Moonak,2024-04-16,2024-05-09,24,0,0,1
Moonak,2024-05-11,2024-06-27,48,0,0,1
Moonak,2024-09-20,2024-09-24,5,1,0,1
Moonak,2024-09-27,2024-10-04,8,1,0,1
Moonak,2024-10-07,2025-02-19,136,0,0,1
Moonak,2025-03-01,2025-03-12,12,0,0,1
Moonak,2025-03-16,2025-04-10,26,0,0,1
Moonak,2025-04-13,2025-05-01,19,0,0,1
Moonak,2025-05-06,2025-05-24,19,0,0,1
Moonak,2025-05-26,2025-06-12,18,0,0,1
Moonak,2025-07-01,2025-07-05,5,1,0,1
Moonak,2025-09-13,2025-09-17,5,1,0,1
Moonak,2025-09-22,2025-09-27,6,1,0,1
Moonak,2025-10-08,2025-12-31,85,0,0,1
Sangrur,2010-01-04,2010-02-07,35,0,1,0
Sangrur,2010-02-10,2010-02-21,12,0,1,0
Sangrur,2010-02-24,2010-04-26,62,0,1,0
Sangrur,2010-05-01,2010-05-06,6,0,1,0
Sangrur,2010-05-08,2010-06-06,30,0,1,0
Sangrur,2010-06-08,2010-06-21,14,1,1,0
Sangrur,2010-06-26,2010-06-30,5,1,1,0
Sangrur,2010-08-27,2010-08-31,5,1,1,0
Sangrur,2010-09-25,2010-10-03,9,1,1,0
Sangrur,2010-10-05,2010-10-09,5,0,1,0
Sangrur,2010-10-11,2010-12-28,79,0,1,0
Sangrur,2010-12-31,2011-02-06,38,0,1,0
Sangrur,2011-02-08,2011-02-13,6,0,1,0
Sangrur,2011-02-26,2011-03-02,5,0,1,0
Sangrur,2011-03-04,2011-03-31,28,0,1,0
Sangrur,2011-04-03,2011-04-16,14,0,1,0
Sangrur,2011-04-18,2011-05-10,23,0,1,0
Sangrur,2011-05-12,2011-05-20,9,0,1,0
Sangrur,2011-10-02,2011-10-07,6,0,1,0
Sangrur,2011-10-09,2012-02-19,134,0,1,0
Sangrur,2012-02-21,2012-03-25,34,0,1,0
Sangrur,2012-03-27,2012-04-08,13,0,1,0
Sangrur,2012-04-21,2012-05-06,16,0,1,0
Sangrur,2012-05-09,2012-07-06,59,0,1,0
Sangrur,2012-10-01,2012-10-09,9,0,1,0
Sangrur,2012-10-24,2012-12-10,48,0,1,0
Sangrur,2012-12-14,2012-12-27,14,0,1,0
Sangrur,2012-12-29,2013-01-15,18,0,1,0
Sangrur,2013-01-19,2013-02-02,15,0,1,0
Sangrur,2013-02-06,2013-02-14,9,0,1,0
Sangrur,2013-02-24,2013-03-12,17,0,1,0
Sangrur,2013-03-15,2013-03-22,8,0,1,0
Sangrur,2013-03-31,2013-04-15,16,0,1,0
Sangrur,2013-04-17,2013-06-05,50,0,1,0
Sangrur,2013-06-16,2013-06-30,15,1,1,0
Sangrur,2013-08-22,2013-08-31,10,1,1,0
Sangrur,2013-10-05,2013-10-09,5,0,1,0
Sangrur,2013-10-11,2013-10-31,21,0,1,0
Sangrur,2013-11-02,2014-01-16,76,0,1,0
Sangrur,2014-01-23,2014-02-01,10,0,1,0
Sangrur,2014-02-04,2014-03-09,34,0,1,0
Sangrur,2014-03-12,2014-03-21,10,0,1,0
Sangrur,2014-03-29,2014-04-11,14,0,1,0
Sangrur,2014-04-20,2014-05-03,14,0,1,0
Sangrur,2014-05-06,2014-05-10,5,0,1,0
Sangrur,2014-05-13,2014-05-22,10,0,1,0
Sangrur,2014-06-02,2014-06-30,29,1,1,0
