issue,offset,block,phase,amp,active,jjas,anom_mm,expected_mm,pct
2018-04-26,3,Dhuri,5,0.41228747,False,0,3.6901950915850614,3.1432,117.40249082416204
2018-04-26,3,Lehra,5,0.41228747,False,0,4.295024711870827,2.9720999999999997,144.5114468514124
2018-04-26,3,Malerkotla,5,0.41228747,False,0,3.9744252306414687,3.8669000000000002,102.78065713210759
2018-04-26,3,Moonak,5,0.41228747,False,0,4.758160177334335,2.8845,164.95615106029936
2018-04-26,3,Sangrur,5,0.41228747,False,0,3.0699383283918045,2.7784,110.49302938352307
2018-04-26,3,Sunam,5,0.41228747,False,0,3.75376506642152,3.0062,124.86744283219744
2018-04-27,3,Dhuri,6,0.26130071,False,0,4.050162738379029,3.5915,112.77078486367894
2018-04-27,3,Lehra,6,0.26130071,False,0,5.636258098633029,3.3257999999999996,169.47074684686478
2018-04-27,3,Malerkotla,6,0.26130071,False,0,3.909193438747721,4.378500000000001,89.28156763155694
2018-04-27,3,Moonak,6,0.26130071,False,0,5.264986046284268,3.2207,163.4733457411205
2018-04-27,3,Sangrur,6,0.26130071,False,0,3.7639461058720145,3.1675999999999997,118.82643344715288
2018-04-27,3,Sunam,6,0.26130071,False,0,4.936405332626931,3.3782,146.1253132622974
2018-04-28,3,Dhuri,8,0.17705892,False,0,4.839029574703439,4.0174,120.4517741500333
2018-04-28,3,Lehra,8,0.17705892,False,0,6.652372325969294,3.647,182.40669936850273
2018-04-28,3,Malerkotla,8,0.17705892,False,0,5.048987488410145,4.8369,104.38478133536242
2018-04-28,3,Moonak,8,0.17705892,False,0,6.9970668999476375,3.5332999999999997,198.03206350855118
2018-04-28,3,Sangrur,8,0.17705892,False,0,4.307573022030951,3.5413,121.63818433995851
2018-04-28,3,Sunam,8,0.17705892,False,0,5.746888001480013,3.7212,154.43641839944138
2018-04-29,3,Dhuri,7,0.32891011,False,0,6.107327922529727,4.4346,137.7199278972112
2018-04-29,3,Lehra,7,0.32891011,False,0,11.224243517282838,3.9259,285.90243045627346
2018-04-29,3,Malerkotla,7,0.32891011,False,0,6.903426146386457,5.306,130.10603366729094
2018-04-29,3,Moonak,7,0.32891011,False,0,13.469557730959554,3.7742999999999998,356.87565193438667
2018-04-29,3,Sangrur,7,0.32891011,False,0,6.6081223462336105,3.8843,170.12389223884898
2018-04-29,3,Sunam,7,0.32891011,False,0,9.119417000677643,4.0226,226.7045443414121
2018-04-30,3,Dhuri,7,0.47462457,False,0,5.18243074236427,4.843399999999999,106.99985015411221
2018-04-30,3,Lehra,7,0.47462457,False,0,10.646782883014925,4.1781999999999995,254.81745447836215
2018-04-30,3,Malerkotla,7,0.47462457,False,0,5.453279280729127,5.767100000000001,94.55843111319601
2018-04-30,3,Moonak,7,0.47462457,False,0,12.041243876042335,3.9869,302.02021309895747
2018-04-30,3,Sangrur,7,0.47462457,False,0,6.828192302517754,4.2141,162.03204248873436
2018-04-30,3,Sunam,7,0.47462457,False,0,9.154780521429583,4.3043000000000005,212.68918340797765
2018-05-01,3,Dhuri,7,0.70970029,False,0,3.6588826763669804,5.1181,71.48908142410231
2018-05-01,3,Lehra,7,0.70970029,False,0,7.766541794659999,4.3731,177.5980836171137
2018-05-01,3,Malerkotla,7,0.70970029,False,0,3.5000263287653848,6.080500000000001,57.56148883751968
2018-05-01,3,Moonak,7,0.70970029,False,0,10.080157340052912,4.1518,242.79005106346435
2018-05-01,3,Sangrur,7,0.70970029,False,0,5.459204015154568,4.4331000000000005,123.14642158206598
2018-05-01,3,Sunam,7,0.70970029,False,0,6.678126874844183,4.5147,147.91961536412566
2018-05-02,3,Dhuri,7,0.68051493,False,0,2.537496489441332,5.332,47.58995666619152
2018-05-02,3,Lehra,7,0.68051493,False,0,7.372316784612024,4.486,164.34054357137816
2018-05-02,3,Malerkotla,7,0.68051493,False,0,2.2004589420428218,6.3201,34.81683742413604
2018-05-02,3,Moonak,7,0.68051493,False,0,9.820479606096907,4.2573,230.67389204652966
2018-05-02,3,Sangrur,7,0.68051493,False,0,4.622941730285675,4.5937,100.63656160144708
2018-05-02,3,Sunam,7,0.68051493,False,0,6.096666820657117,4.6488000000000005,131.14495828293573
2018-05-03,3,Dhuri,7,0.74509549,False,0,1.1463778971527256,5.3610999999999995,21.383258979551318
2018-05-03,3,Lehra,7,0.74509549,False,0,5.825186576096843,4.526800000000001,128.68221649060797
2018-05-03,3,Malerkotla,7,0.74509549,False,0,1.0002280398350027,6.3435,15.767762904311542
2018-05-03,3,Moonak,7,0.74509549,False,0,8.503292957865792,4.2931,198.0688303991473
2018-05-03,3,Sangrur,7,0.74509549,False,0,3.096060928297586,4.626200000000001,66.92449371617279
2018-05-03,3,Sunam,7,0.74509549,False,0,4.372215706368293,4.682099999999999,93.38151056936618
2018-05-04,3,Dhuri,7,0.7665993,False,0,1.4790370388194658,5.3618999999999994,27.584196624693966
2018-05-04,3,Lehra,7,0.7665993,False,0,4.166453189334644,4.4906,92.78165922893697
2018-05-04,3,Malerkotla,7,0.7665993,False,0,2.3394082548380597,6.3775,36.682214893579925
2018-05-04,3,Moonak,7,0.7665993,False,0,7.748255574055243,4.2684,181.52599508141793
2018-05-04,3,Sangrur,7,0.7665993,False,0,2.9916414976714254,4.6036,64.98482704125956
2018-05-04,3,Sunam,7,0.7665993,False,0,3.421513683977432,4.6267,73.95149207809956
2018-05-05,3,Dhuri,8,1.2934879,True,0,0.5864707026621971,5.4079,10.844703168738276
2018-05-05,3,Lehra,8,1.2934879,True,0,2.7574389619983783,4.5623,60.43966775526332
2018-05-05,3,Malerkotla,8,1.2934879,True,0,1.3094445750211667,6.4243,20.382680992811153
2018-05-05,3,Moonak,8,1.2934879,True,0,5.620790106319408,4.3606,128.89946581478256
2018-05-05,3,Sangrur,8,1.2934879,True,0,2.4106427371095496,4.6496,51.84623918422121
2018-05-05,3,Sunam,8,1.2934879,True,0,2.3635619443581835,4.658799999999999,50.73327776161638
2018-05-06,3,Dhuri,8,1.7202729,True,0,-1.1669730923233557,5.430700000000001,-21.48844702015128
2018-05-06,3,Lehra,8,1.7202729,True,0,-3.29203135667973,4.623,-71.20984980920896
2018-05-06,3,Malerkotla,8,1.7202729,True,0,-0.8928627176687121,6.3838,-13.986382995531065
