forecast_date,url,status_code,available,content_length_bytes,content_length_mb,local_file_exists
2010-03-31,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/31/c3g_2010.03.31.tif,200.0,True,68358726.0,65.19,False
2010-04-01,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/01/c3g_2010.04.01.tif,200.0,True,69079086.0,65.88,False
2010-04-02,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/02/c3g_2010.04.02.tif,200.0,True,75949208.0,72.43,False
2010-04-03,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/03/c3g_2010.04.03.tif,200.0,True,67455490.0,64.33,False
2010-04-04,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/04/c3g_2010.04.04.tif,200.0,True,70027680.0,66.78,False
2010-04-05,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/05/c3g_2010.04.05.tif,200.0,True,68995230.0,65.8,False
2010-04-06,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/06/c3g_2010.04.06.tif,200.0,True,69901748.0,66.66,False
2010-04-07,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/07/c3g_2010.04.07.tif,200.0,True,69473802.0,66.26,False
2010-04-08,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/08/c3g_2010.04.08.tif,200.0,True,66061090.0,63.0,False
2010-04-09,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/09/c3g_2010.04.09.tif,200.0,True,77025806.0,73.46,False
2010-04-10,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/10/c3g_2010.04.10.tif,200.0,True,69350556.0,66.14,False
