system:index,block,date,rainfall_mm,.geo
20100205_00000000000000000000,Dhuri,2010-02-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100205_00000000000000000001,Lehra,2010-02-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100205_00000000000000000002,Malerkotla,2010-02-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100205_00000000000000000003,Moonak,2010-02-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100205_00000000000000000004,Sangrur,2010-02-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100205_00000000000000000005,Sunam,2010-02-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100206_00000000000000000000,Dhuri,2010-02-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100206_00000000000000000001,Lehra,2010-02-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100206_00000000000000000002,Malerkotla,2010-02-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100206_00000000000000000003,Moonak,2010-02-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100206_00000000000000000004,Sangrur,2010-02-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100206_00000000000000000005,Sunam,2010-02-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100207_00000000000000000000,Dhuri,2010-02-07,0.01533919497005918,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100207_00000000000000000001,Lehra,2010-02-07,0.07301824171545236,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100207_00000000000000000002,Malerkotla,2010-02-07,0.0032629563246830786,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100207_00000000000000000003,Moonak,2010-02-07,0.01903219264315145,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100207_00000000000000000004,Sangrur,2010-02-07,0.06630198316908117,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100207_00000000000000000005,Sunam,2010-02-07,0.05774600313017741,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100208_00000000000000000000,Dhuri,2010-02-08,21.824057142399027,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100208_00000000000000000001,Lehra,2010-02-08,20.36128624683742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100208_00000000000000000002,Malerkotla,2010-02-08,23.27022410489264,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100208_00000000000000000003,Moonak,2010-02-08,19.55270254618382,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100208_00000000000000000004,Sangrur,2010-02-08,21.107469616529308,"{""type"":""MultiPoint"",""coordinates"":[]}"
